"","system.index","HH","OBJECTID","ORIG_FID","Shape_Leng","flowid","newID","pid",".geo","HHbinary","cumHH"
"734721","18_00009800f7d5a595ac93",-17.110897064209,29962,151,33716.6221498,151,18,111,"{""type"":""Point"",""coordinates"":[-19.503335472185746,79.54293405026951]}",1,131
"734733","18_0000c157aed244a066b0",-12.5792789459229,31555,159,34166.9003376,159,18,112,"{""type"":""Point"",""coordinates"":[-19.475545397250563,79.54297083978115]}",1,141
"734737","18_0000d2c24223e7eb86ae",-11.3422479629517,31556,159,34166.9003376,159,18,113,"{""type"":""Point"",""coordinates"":[-19.477568768758726,79.54145763904322]}",1,131
"735904","18_0000e061330fb2db6029",-15.9504680633545,32353,163,34393.4976671,163,18,114,"{""type"":""Point"",""coordinates"":[-19.464688138051436,79.54071863732173]}",1,139
"735882","18_000095bdce90db1a54de",-17.312427520752,32752,165,34581.4099149,165,18,115,"{""type"":""Point"",""coordinates"":[-19.46011114871856,79.53915614641498]}",1,143
"735875","18_000057c6885d4e5dc4c1",-17.7060794830322,32952,166,34676.0630203,166,18,116,"{""type"":""Point"",""coordinates"":[-19.458801825022807,79.53766818370204]}",1,148
"734768","18_0000edc02752edb1359e",-6.65036869049072,32953,166,34676.0630203,166,18,117,"{""type"":""Point"",""coordinates"":[-19.460826588236518,79.53615508435911]}",1,146
"735373","18_000069e8cd74a03096d9",-16.2688083648682,33750,170,35055.2039587,170,18,118,"{""type"":""Point"",""coordinates"":[-19.449109407626533,79.53453050606434]}",1,144
"735383","18_00002229be18025f32f8",-16.7621173858643,34348,173,35340.1026944,173,18,119,"{""type"":""Point"",""coordinates"":[-19.44104144751076,79.53290798869165]}",1,141
"735381","18_0000a5954690cf05b50c",-16.561674118042,34548,174,35435.1701575,174,18,120,"{""type"":""Point"",""coordinates"":[-19.439572396677594,79.53133519131299]}",1,150
